year,fund,recipient,location,artform,amount_awarded
2023,Arts Grant Funding,"Newell, Anna",Ireland,Children and Young People's Arts,190194
2023,Arts Grant Funding,Ormston House,Ireland,Visual Arts,130000
2023,Arts Grant Funding,Outlandish Theatre Platform,Ireland,Participatory Arts,97000
2023,Arts Grant Funding,Over the Edge,Ireland,Literature (English language),14700
2023,Arts Grant Funding,Pallas Projects/Studios,Ireland,Visual Arts,172488
2023,Arts Grant Funding,Paper Lanterns,Ireland,Literature (Irish language),25000
2023,Arts Grant Funding,Paper Visual Art Journal,Ireland,Visual Arts,52000
2023,Arts Grant Funding,PhotoIreland Festival,Ireland,Visual Arts,150000
2023,Arts Grant Funding,Pipeworks Festival,Ireland,Music,52000
2023,Arts Grant Funding,Publishing Ireland,Ireland,Literature (English language),17000
2023,Arts Grant Funding,Quiet Music Ensemble,Ireland,Music,42000
2023,Arts Grant Funding,Resurgam,Ireland,Music,68000
2023,Arts Grant Funding,"Riordan, James",Ireland,Theatre,68000
2023,Arts Grant Funding,Run Of The Mill Arts Clg,Ireland,Participatory Arts,131660
2023,Arts Grant Funding,Sample Studios,Ireland,Visual Arts,100000
2023,Arts Grant Funding,Skein Press,Ireland,Literature (English language),110000
2023,Arts Grant Funding,"Smalis, Angeliki",Ireland,Dance,70000
2023,Arts Grant Funding,Source,Ireland,Visual Arts,31500
2023,Arts Grant Funding,South Tipperary Arts Centre,Ireland,Arts Centres,57000
2023,Arts Grant Funding,St John’s Arts Centre,Ireland,Arts Centres,70000
2023,Arts Grant Funding,St. Patrick’s Festival,Ireland,Traditional Arts,50000
2023,Arts Grant Funding,Stiúideo Cuan,Ireland,Traditional Arts,50000
2023,Arts Grant Funding,"Strain, Kate",Ireland,Visual Arts,50000
2023,Arts Grant Funding,Sundays at Noon / Gallery Music,Ireland,Music,28500
2023,Arts Grant Funding,Superprojects,Ireland,Children and Young People's Arts,116000
2023,Arts Grant Funding,Symphony Club of Waterford,Ireland,Music,13000
2023,Arts Grant Funding,Taking Flight: Education & Performance Ltd.,Ireland,Circus,65000
2023,Arts Grant Funding,Tallaght Community Arts,Ireland,Participatory Arts,110000
2023,Arts Grant Funding,The Ballinglen Arts Foundation,Ireland,Visual Arts,63000
2023,Arts Grant Funding,The Dublin Jazz Co-op,Ireland,Music,18000
2023,Arts Grant Funding,The Dublin Review,Ireland,Literature (English language),86000
2023,Arts Grant Funding,The Firkin Crane,Ireland,Dance,126540
2023,Arts Grant Funding,The Galway Music Residency,Ireland,Music,74000
2023,Arts Grant Funding,The Glens Centre,Ireland,Arts Centres,51000
2023,Arts Grant Funding,The Journal of Music,Ireland,Music,75000
2023,Arts Grant Funding,The Limerick Theatre And Performance Hub,Ireland,Participatory Arts,65000
2023,Arts Grant Funding,The Mill Theatre,Ireland,Arts Centres,35000
2023,Arts Grant Funding,The Momentist,Ireland,Literature (English language),8000
2023,Arts Grant Funding,The O’Brien Press,Ireland,Literature (English language),78000
2023,Arts Grant Funding,The Seamus Ennis Cultural Centre,Ireland,Traditional Arts,97000
2023,Arts Grant Funding,Theatre Lovett,Ireland,Children and Young People's Arts,230602
2023,Arts Grant Funding,THISISPOPBABY,Ireland,Theatre,255000
2023,Arts Grant Funding,Tipperary Dance,Ireland,Dance,120000
2023,Arts Grant Funding,Tipperary Excel Heritage Company,Ireland,Arts Centres,20000
2023,Arts Grant Funding,Tolka Journal,Ireland,Literature (English language),51400
2023,Arts Grant Funding,Trad Ireland / Traid Éireann,Ireland,Traditional Arts,30000
2023,Arts Grant Funding,Traders in the Area Supporting the Cultural Quarter Ltd,Ireland,Festivals and Events,77050
2023,Arts Grant Funding,Tramp Press,Ireland,Literature (English language),112400
2023,Arts Grant Funding,Tulca,Ireland,Visual Arts,130000
2023,Arts Grant Funding,Tullow Road Community Group / Take A Part Carlow,Ireland,Participatory Arts,65000
2023,Arts Grant Funding,Upstate Theatre Project,Ireland,Participatory Arts,85500
2023,Arts Grant Funding,Verdant Productions Ltd,Ireland,Theatre,168000
2023,Arts Grant Funding,Waterford Music,Ireland,Music,13272
2023,Arts Grant Funding,Waterford Youth Arts,Ireland,Children and Young People's Arts,130000
2023,Arts Grant Funding,Westport Jazz,Ireland,Music,9750
2023,Arts Grant Funding,WhistleBlast Quartet,Ireland,Children and Young People's Arts,146691
2023,Arts Grant Funding,Wordwell Ltd,Ireland,Literature (English language),50000
2023,Arts Grant Funding,"Yergainharsian, Nyree",Ireland,Theatre,199000
2023,Arts Grant Funding,Ériu,Ireland,Traditional Arts,60000
2023,Arts Grant Funding,Ó Bhéal,Ireland,Literature (English language),12000
2023,Festivals Investment Scheme,Alliance Francaise,Ireland,Literature (English language),6000
2023,Festivals Investment Scheme,Alternative Entertainments,Ireland,Children and Young People's Arts,9996
2023,Festivals Investment Scheme,Ballydehob Jazz Festival,Ireland,Multidisciplinary Arts,25000
2023,Festivals Investment Scheme,Ballydehob Traditional Music Festival,Ireland,Traditional Arts,4000
2023,Festivals Investment Scheme,Ballyhoura Comhaltas Ceoltoiri Eireann,Ireland,Traditional Arts,19705
2023,Festivals Investment Scheme,Big Bang Festival,Ireland,Music,10000
2023,Festivals Investment Scheme,Birr Festival Of Music & Voice,Ireland,Music,20000
2023,Festivals Investment Scheme,Birr Vintage Week and Arts Festival,Ireland,Multidisciplinary Arts,32350
2023,Festivals Investment Scheme,Blood in the Alley Productions,Ireland,Theatre,43200
2023,Festivals Investment Scheme,Borris Festival of Writing and Ideas,Ireland,Literature (English language),23000
2023,Festivals Investment Scheme,Boyle Arts Festival,Ireland,Multidisciplinary Arts,37000
2023,Festivals Investment Scheme,Boyne Music Festival,Ireland,Music,18106
2023,Festivals Investment Scheme,Cackle Mgmt,Ireland,Multidisciplinary Arts,30000
2023,Festivals Investment Scheme,Cairde na Cruite,Ireland,Traditional Arts,15000
2023,Festivals Investment Scheme,Cape Clear International Storytelling Festival,Ireland,Traditional Arts,7000
2023,Festivals Investment Scheme,Carrickmacross Comhaltas,Ireland,Traditional Arts,6159
2023,Festivals Investment Scheme,Cashel Arts Festival,Ireland,Multidisciplinary Arts,25000
2023,Festivals Investment Scheme,Catalyst Film Festival,Ireland,Film,5000
2023,Festivals Investment Scheme,Cavan Arts Festival,Ireland,Multidisciplinary Arts,16000
2023,Festivals Investment Scheme,Ceol na gCruach,Ireland,Traditional Arts,9120
2023,Festivals Investment Scheme,Chamber Music on Valentia,Ireland,Music,25000
2023,Festivals Investment Scheme,Circus Factory,Ireland,Circus,44980
2023,Festivals Investment Scheme,Clare Island Folk Festival,Ireland,Traditional Arts,7000
2023,Festivals Investment Scheme,Classics Now,Ireland,Literature (English language),10000
2023,Festivals Investment Scheme,Clonakilty International Guitar Festival,Ireland,Music,15000
2023,Festivals Investment Scheme,Clonmel Applefest,Ireland,Multidisciplinary Arts,19702
2023,Festivals Investment Scheme,Cobh Carillon Committee,Ireland,Music,5000
2023,Festivals Investment Scheme,Coirm,Ireland,Traditional Arts,5550
2023,Festivals Investment Scheme,Coiste Cruinniu na BhFliuit,Ireland,Traditional Arts,9165
2023,Festivals Investment Scheme,Comharchumann Forbartha Ghaoth Dobhair,Ireland,Traditional Arts,43000
2023,Festivals Investment Scheme,Common Knowledge,Ireland,Participatory Arts,7000
2023,Festivals Investment Scheme,Consairtín,Ireland,Traditional Arts,15650
2023,Festivals Investment Scheme,Cork Folk Festival,Ireland,Traditional Arts,20000
2023,Festivals Investment Scheme,Cork World Book Festival,Ireland,Literature (English language),25000
2023,Festivals Investment Scheme,Corofin Traditional Festival,Ireland,Traditional Arts,8150
2023,Festivals Investment Scheme,Cruthú Arts Festival,Ireland,Multidisciplinary Arts,6000
2023,Festivals Investment Scheme,Culturekids,Ireland,Circus,9000
2023,Festivals Investment Scheme,Dingle Lit Clg,Ireland,Literature (English language),20000
2023,Festivals Investment Scheme,Dingle New Music Choir And Orchestra,Ireland,Music,2500
2023,Festivals Investment Scheme,Drogheda Arts Festival,Ireland,Multidisciplinary Arts,15000
2023,Festivals Investment Scheme,Drogheda Traditional Music Weekend,Ireland,Traditional Arts,5500
2023,Festivals Investment Scheme,Dromineer Literary Festival,Ireland,Literature (English language),16000
2023,Festivals Investment Scheme,East Asia Film Festival Ireland,Ireland,Film,21000
2023,Festivals Investment Scheme,East Cork Early Music Festival,Ireland,Music,19132
2023,Festivals Investment Scheme,Ennis Book Club Festival,Ireland,Literature (English language),45000
2023,Festivals Investment Scheme,Fastnet Short Film Festival,Ireland,Film,16000
2023,Festivals Investment Scheme,Feile Chois Cuain,Ireland,Traditional Arts,9800
2023,Festivals Investment Scheme,Feile na Bealtaine,Ireland,Multidisciplinary Arts,45000
2023,Festivals Investment Scheme,First Cut! Youth Film Project,Ireland,Children and Young People's Arts,44632
2023,Festivals Investment Scheme,First Fortnight,Ireland,Multidisciplinary Arts,32000
2023,Festivals Investment Scheme,Five Lamps Arts Festival,Ireland,Multidisciplinary Arts,11000
2023,Festivals Investment Scheme,Féile Bheag Filíochta,Ireland,Literature (English language),5600
2023,Festivals Investment Scheme,Féile Na Gréine,Ireland,Music,8487
2023,Festivals Investment Scheme,Féile Na Tána,Ireland,Traditional Arts,9881
2023,Festivals Investment Scheme,Féile Nasc,Ireland,Traditional Arts,16000
2023,Festivals Investment Scheme,Féile Róise Rua,Ireland,Traditional Arts,16557
2023,Festivals Investment Scheme,Galway Theatre Festival,Ireland,Theatre,45000
2023,Festivals Investment Scheme,Galway Traveller Movement,Ireland,Participatory Arts,25000
2023,Festivals Investment Scheme,Gap Arts Festival,Ireland,Multidisciplinary Arts,14500
2023,Festivals Investment Scheme,Gaze Lgbt Film Festival,Ireland,Film,27500
2023,Festivals Investment Scheme,Glasdrum,Ireland,Music,17000
2023,Festivals Investment Scheme,Grasshoppers Early Years Festival,Ireland,Children and Young People's Arts,7000
2023,Festivals Investment Scheme,Great Music in Irish Houses,Ireland,Music,45000
2023,Festivals Investment Scheme,Grey Heron Media,Ireland,Multidisciplinary Arts,42000
2023,Festivals Investment Scheme,Greywood Arts,Ireland,Multidisciplinary Arts,9500
2023,Festivals Investment Scheme,Historical Harp Society of Ireland,Ireland,Traditional Arts,20000
2023,Festivals Investment Scheme,Iniscealtra Arts Festival,Ireland,Multidisciplinary Arts,13800
2023,Festivals Investment Scheme,Inishbofin Community Services Programme,Ireland,Multidisciplinary Arts,7000
2023,Festivals Investment Scheme,Inishbofin Set Dancing,Ireland,Traditional Arts,3340
2023,Festivals Investment Scheme,Inishowen Traditional Music Project,Ireland,Traditional Arts,12000
2023,Festivals Investment Scheme,Inishowen Traditional Singers’ Circle,Ireland,Traditional Arts,24650
2023,Festivals Investment Scheme,Iron Mountain Festival,Ireland,Literature (English language),7600
2023,Festivals Investment Scheme,Jazz In County Kildare,Ireland,Music,8487
2023,Festivals Investment Scheme,John Dwyer Trad Festival,Ireland,Traditional Arts,11800
2023,Festivals Investment Scheme,John McKenna Traditional Society,Ireland,Traditional Arts,4000
2023,Festivals Investment Scheme,K-fest,Ireland,Festivals and Events,9500
2023,Festivals Investment Scheme,Keep Her Lit,Ireland,Traditional Arts,7000
2023,Festivals Investment Scheme,Kerry Film Festival,Ireland,Film,18000
2023,Festivals Investment Scheme,Kildare County Library,Ireland,Literature (English language),6000
2023,Festivals Investment Scheme,Killaloe Chamber Music Festival,Ireland,Music,18000
2023,Festivals Investment Scheme,Kilrush Comhaltas Ceoltoiri Eireann,Ireland,Traditional Arts,10170
2023,Festivals Investment Scheme,Kinsale Arts Weekend,Ireland,Multidisciplinary Arts,5400
2023,Festivals Investment Scheme,Laois Youth Dance Ensemble,Ireland,Children and Young People's Arts,25000
2023,Festivals Investment Scheme,Limerick Jazz Society,Ireland,Music,25000
2023,Festivals Investment Scheme,Lismore Castle Arts,Ireland,Children and Young People's Arts,24797
2023,Festivals Investment Scheme,Live Collision Festival,Ireland,Multidisciplinary Arts,32500
2023,Festivals Investment Scheme,LMB Entertainments,Ireland,Film,10000
2023,Festivals Investment Scheme,Lumen Street Theatre,Ireland,Multidisciplinary Arts,14900
2023,Festivals Investment Scheme,Make A Move,Ireland,Children and Young People's Arts,6770
2023,Festivals Investment Scheme,Micho Russell Festival,Ireland,Traditional Arts,9905
2023,Festivals Investment Scheme,Moth And Butterfly,Ireland,Traditional Arts,10000
2023,Festivals Investment Scheme,Mother Tongues,Ireland,Participatory Arts,20000
2023,Festivals Investment Scheme,Music In Monkstown,Ireland,Music,20000
2023,Festivals Investment Scheme,New Ross Guitar Academy,Ireland,Music,8488
2023,Festivals Investment Scheme,New Ross Piano Festival – Music For New Ross,Ireland,Music,26600
2023,Festivals Investment Scheme,Now And Then Media Ltd.,Ireland,Music,7000
2023,Festivals Investment Scheme,Nyah Festival,Ireland,Traditional Arts,13820
2023,Festivals Investment Scheme,OFFline Film,Ireland,Film,18000
2023,Festivals Investment Scheme,Oidhreacht an Chlair,Ireland,Traditional Arts,16300
2023,Festivals Investment Scheme,Ortus Festival,Ireland,Music,17000
2023,Festivals Investment Scheme,Patrick O’Keefe Traditional Music Festival,Ireland,Traditional Arts,33435
2023,Festivals Investment Scheme,PhotoIreland Festival,Ireland,Visual Arts,45000
2023,Festivals Investment Scheme,Polish Arts Festival,Ireland,Multidisciplinary Arts,20500
2023,Festivals Investment Scheme,Portumna Arts Group,Ireland,Multidisciplinary Arts,20000
2023,Festivals Investment Scheme,Rogu,Ireland,Circus,6250
2023,Festivals Investment Scheme,Sample Studios,Ireland,Visual Arts,10000
2023,Festivals Investment Scheme,Scoil Acla,Ireland,Traditional Arts,20000
2023,Festivals Investment Scheme,Scoil Cheoil an Earraigh,Ireland,Traditional Arts,25000
2023,Festivals Investment Scheme,Sean-Nos Cois Life,Ireland,Traditional Arts,9950
2023,Festivals Investment Scheme,Skibbereen Arts Festival,Ireland,Multidisciplinary Arts,25000
2023,Festivals Investment Scheme,Sligo Festival of Baroque Music,Ireland,Music,32000
2023,Festivals Investment Scheme,Sligo Jazz Project,Ireland,Music,25000
2023,Festivals Investment Scheme,Smashing Times Theatre Company,Ireland,Multidisciplinary Arts,20000
2023,Festivals Investment Scheme,Sonic Vigil,Ireland,Multidisciplinary Arts,7100
2023,Festivals Investment Scheme,South Sligo Summer School,Ireland,Traditional Arts,20000
2023,Festivals Investment Scheme,Spleodar – Nenagh Community Arts Festival,Ireland,Children and Young People's Arts,25000
2023,Festivals Investment Scheme,Still Voices Short Film Festival,Ireland,Film,5000
2023,Festivals Investment Scheme,Stoa,Ireland,Multidisciplinary Arts,6000
2023,Festivals Investment Scheme,Strokestown International Poetry Festival,Ireland,Literature (English language),25000
2023,Festivals Investment Scheme,The Ballincollig Winter Music Festival Committee,Ireland,Traditional Arts,10000
2023,Festivals Investment Scheme,The Dinny Delaney Festival Of Uilleann Pipers,Ireland,Traditional Arts,5220
2023,Festivals Investment Scheme,The Eugene O’Neill International Festival Of Theatre,Ireland,Theatre,4070
2023,Festivals Investment Scheme,The Leitrim Dance Project,Ireland,Traditional Arts,17000
2023,Festivals Investment Scheme,The Soundseekers Audio Festival,Ireland,Participatory Arts,6000
2023,Festivals Investment Scheme,The Walls Project,Ireland,Visual Arts,17000
2023,Festivals Investment Scheme,Three Rings Festival,Ireland,Theatre,9994
2023,Festivals Investment Scheme,Tionól Niocláis Tóibín,Ireland,Traditional Arts,10000
2023,Festivals Investment Scheme,Tipperary Dance,Ireland,Dance,41505
2023,Festivals Investment Scheme,Tullamore Tradfest,Ireland,Traditional Arts,3000
2023,Festivals Investment Scheme,University Concert Hall Limerick,Ireland,Music,14000
2023,Festivals Investment Scheme,Waterford Arts Festival Limited,Ireland,Multidisciplinary Arts,14800
2023,Festivals Investment Scheme,Waterford International Organ Festival,Ireland,Music,5000
2023,Festivals Investment Scheme,West Wicklow Festival,Ireland,Music,45000
2023,Festivals Investment Scheme,Westival Westport Music & Arts Festival,Ireland,Multidisciplinary Arts,35000
2023,Festivals Investment Scheme,Westport Festival of Chamber Music,Ireland,Music,34000
2023,Festivals Investment Scheme,Westport Folk And Bluegrass Festival,Ireland,Music,3000
2023,Festivals Investment Scheme,Wex-art,Ireland,Visual Arts,20000
2023,Festivals Investment Scheme,Wicklow Screendance Laboratory,Ireland,Dance,20000
2023,Festivals Investment Scheme,Write By The Sea,Ireland,Literature (English language),20000
2023,Festivals Investment Scheme,Éigse Dhiarmuid Ui Shúilleabháin,Ireland,Traditional Arts,8500
2023,Strategic Funding,Age and Opportunity,Ireland,Participatory Arts,237000
2023,Strategic Funding,Arts & Disability Ireland,Ireland,Participatory Arts,318000
2023,Strategic Funding,Baboró International Arts Festival for Children,Ireland,Children and Young People's Arts,390750
2023,Strategic Funding,Ballet Ireland,Ireland,Dance,470000
2023,Strategic Funding,Bewley’s Cafe Theatre,Ireland,Theatre,78000
2023,Strategic Funding,Black Church Print Studio,Ireland,Visual Arts,97000
2023,Strategic Funding,Blue Raincoat Theatre Company,Ireland,Theatre,256000
2023,Strategic Funding,Butler Gallery,Ireland,Visual Arts,505000
2023,Strategic Funding,Cairdeas na bhFidiléirí,Ireland,Traditional Arts,50000
2023,Strategic Funding,Carlow Arts Festival,Ireland,Artists support,235000
2023,Strategic Funding,Chamber Choir Ireland,Ireland,Music,625000
2023,Strategic Funding,Children’s Books Ireland,Ireland,Children and Young People's Arts,398440
2023,Strategic Funding,Cló Iar-Chonnachta Teo,Ireland,Literature (English language),95000
2023,Strategic Funding,CoisCeim Dance Theatre,Ireland,Dance,330000
2023,Strategic Funding,Cork International Film Festival,Ireland,Film,230000
2023,Strategic Funding,Cork Midsummer Festival,Ireland,Artists support,440000
2023,Strategic Funding,Cork Printmakers,Ireland,Visual Arts,83950
2023,Strategic Funding,Crash Ensemble,Ireland,Music,310000
2023,Strategic Funding,Create,Ireland,Participatory Arts,375000
2023,Strategic Funding,Dance Ireland,Ireland,Dance,390000
2023,Strategic Funding,Dance Limerick,Ireland,Dance,290000
2023,Strategic Funding,Dedalus Press,Ireland,Literature (English language),115000
2023,Strategic Funding,Druid Theatre Company,Ireland,Theatre,1000000
2023,Strategic Funding,Dublin Dance Festival,Ireland,Dance,550000
2023,Strategic Funding,Dublin Fringe Festival,Ireland,Artists support,609000
2023,Strategic Funding,Dublin International Film Festival,Ireland,Film,170000
2023,Strategic Funding,Dublin Theatre Festival,Ireland,Theatre,1125000
2023,Strategic Funding,Dublin Youth Dance Company,Ireland,Children and Young People's Arts,115000
2023,Strategic Funding,Earagail Arts Festival,Ireland,Artists support,276000
2023,Strategic Funding,eva International,Ireland,Visual Arts,325000
2023,Strategic Funding,Fidget Feet,Ireland,Circus,187000
2023,Strategic Funding,Fire Station Artists’ Studios,Ireland,Visual Arts,439495
2023,Strategic Funding,First Music Contact,Ireland,Music,210000
2023,Strategic Funding,Fishamble Theatre Company,Ireland,Theatre,414000
2023,Strategic Funding,Fresh Film,Ireland,Children and Young People's Arts,110000
2023,Strategic Funding,Galway Arts Festival,Ireland,Artists support,845000
2023,Strategic Funding,Galway Community Circus,Ireland,Children and Young People's Arts,220000
2023,Strategic Funding,Galway Film Fleadh,Ireland,Film,150000
2023,Strategic Funding,"Gate Theatre, The",Ireland,Theatre,2475000
2023,Strategic Funding,Graphic Studio Dublin,Ireland,Visual Arts,105600
2023,Strategic Funding,Harp Ireland / Cruit Éireann,Ireland,Traditional Arts,145000
2023,Strategic Funding,Helium Children’s Arts & Health,Ireland,Participatory Arts,104000
2023,Strategic Funding,Highlanes Gallery,Ireland,Visual Arts,111300
2023,Strategic Funding,Improvised Music Company,Ireland,Music,303200
2023,Strategic Funding,IMRAM,Ireland,Literature (English language),165000
2023,Strategic Funding,Irish Aerial Creation Centre,Ireland,Circus,179200
2023,Strategic Funding,Irish Architectural Archive,Ireland,Architecture,390000
2023,Strategic Funding,Irish Architecture Foundation,Ireland,Architecture,320000
2023,Strategic Funding,Irish Association of Youth Orchestras,Ireland,Children and Young People's Arts,300000
2023,Strategic Funding,Irish Baroque Orchestra,Ireland,Music,340000
2023,Strategic Funding,Irish Chamber Orchestra,Ireland,Music,1241800
2023,Strategic Funding,Irish Film Institute,Ireland,Film,1100000
2023,Strategic Funding,Irish Modern Dance Theatre,Ireland,Dance,190000
2023,Strategic Funding,Irish National Opera,Ireland,Opera,4771312
2023,Strategic Funding,Irish National Youth Ballet Company,Ireland,Children and Young People's Arts,90000
2023,Strategic Funding,"Irish Street Arts, Circus And Spectacle Network",Ireland,Circus,168000
2023,Strategic Funding,Irish Theatre Institute,Ireland,Theatre,332000
2023,Strategic Funding,Irish Traditional Music Archive,Ireland,Traditional Arts,950000
2023,Strategic Funding,Irish Writers’ Centre,Ireland,Literature (English language),250000
2023,Strategic Funding,KCAT,Ireland,Participatory Arts,88000
2023,Strategic Funding,Kids’ Own,Ireland,Children and Young People's Arts,140000
2023,Strategic Funding,Kilkenny Arts Festival,Ireland,Artists support,580000
2023,Strategic Funding,LD Dance Shawbrook,Ireland,Dance,75000
2023,Strategic Funding,Leitrim Sculpture Centre,Ireland,Visual Arts,306500
2023,Strategic Funding,Lewis Glucksman Gallery,Ireland,Visual Arts,107000
2023,Strategic Funding,Limerick City Gallery of Art,Ireland,Visual Arts,171000
2023,Strategic Funding,Limerick Printmakers,Ireland,Visual Arts,75000
2023,Strategic Funding,Literature Ireland,Ireland,Literature (English language),350000
2023,Strategic Funding,Little Island,Ireland,Literature (English language),125000
2023,Strategic Funding,Liz Roche Company,Ireland,Dance,270000
2023,Strategic Funding,Macnas,Ireland,Street Performance,361000
2023,Strategic Funding,Munster Literature Centre,Ireland,Literature (English language),206000
2023,Strategic Funding,Music Network,Ireland,Music,670000
2023,Strategic Funding,National Irish Visual Arts Library,Ireland,Visual Arts,83000
2023,Strategic Funding,National Sculpture Factory Cork,Ireland,Visual Arts,333200
2023,Strategic Funding,National Youth Council of Ireland,Ireland,Children and Young People's Arts,116000
2023,Strategic Funding,National Youth Orchestra of Ireland,Ireland,Children and Young People's Arts,65000
2023,Strategic Funding,New Music Dublin,Ireland,Music,260000
2023,Strategic Funding,"New Theatre, The",Ireland,Theatre,102000
2023,Strategic Funding,Pan Pan Theatre Company,Ireland,Theatre,375000
2023,Strategic Funding,Poetry Ireland/Eigse Eireann,Ireland,Literature (English language),450000
2023,Strategic Funding,"Píobairí Uilleann Teoranta, Na",Ireland,Traditional Arts,520000
2023,Strategic Funding,Rough Magic Theatre Company,Ireland,Theatre,333000
2023,Strategic Funding,Royal Hibernian Academy of Arts,Ireland,Visual Arts,487000
2023,Strategic Funding,Salmon Poetry,Ireland,Literature (English language),115000
2023,Strategic Funding,Scoil Samhraidh Willie Clancy,Ireland,Traditional Arts,125000
2023,Strategic Funding,Sing Ireland,Ireland,Music,315000
2023,Strategic Funding,Teac Damsa,Ireland,Dance,320000
2023,Strategic Funding,Temple Bar Gallery & Studios Ltd,Ireland,Visual Arts,490000
2023,Strategic Funding,The Ark,Ireland,Children and Young People's Arts,711900
2023,Strategic Funding,The Contemporary Music Centre,Ireland,Music,415000
2023,Strategic Funding,The Douglas Hyde Gallery,Ireland,Visual Arts,357000
2023,Strategic Funding,The Gallery of Photography,Ireland,Visual Arts,277150
2023,Strategic Funding,The Gallery Press,Ireland,Literature (English language),180000
2023,Strategic Funding,The Stinging Fly,Ireland,Literature (English language),200000
2023,Strategic Funding,Tyrone Guthrie Centre,Ireland,Artists support,377000
2023,Strategic Funding,United Fall,Ireland,Dance,210000
2023,Strategic Funding,Visual Artists Ireland,Ireland,Visual Arts,300000
2023,Strategic Funding,Waterford Healing Arts Trust,Ireland,Participatory Arts,200000
2023,Strategic Funding,Waterford Spraoi,Ireland,Spectacle,400000
2023,Strategic Funding,West Cork Music,Ireland,Music,445000
2023,Strategic Funding,Wexford Festival Opera,Ireland,Opera,1680000
2023,Strategic Funding,Writers’ Week,Ireland,Literature (English language),70000
2023,Strategic Funding,Young Irish Film Makers,Ireland,Children and Young People's Arts,90000
2023,Strategic Funding,Youth Theatre Ireland,Ireland,Children and Young People's Arts,300000
2024,Arts Centre Partnership Funding,An Grianán Theatre,Donegal County Council,Arts Centres,155000
2024,Arts Centre Partnership Funding,An Táin Arts Centre,Louth County Council,Arts Centres,115225
2024,Arts Centre Partnership Funding,Axis Arts Centre,Dublin City Council,Arts Centres,135000
2024,Arts Centre Partnership Funding,Ballina Arts Centre,Mayo County Council,Arts Centres,55000
2024,Arts Centre Partnership Funding,Civic Theatre,South Dublin County Council,Arts Centres,280000
2024,Arts Centre Partnership Funding,Draíocht Arts Centre,Fingal County Council,Arts Centres,245000
2024,Arts Centre Partnership Funding,Dublin Municipal Theatre,Dublin City Council,Arts Centres,115000
2024,Arts Centre Partnership Funding,Dunamaise Arts Centre,Laois County Council,Arts Centres,125000
2024,Arts Centre Partnership Funding,Galway Arts Centre,Galway City Council,Arts Centres,190000
2024,Arts Centre Partnership Funding,Garage Theatre,Monaghan County Council,Arts Centres,61000
2024,Arts Centre Partnership Funding,Garter Lane Arts Centre,Waterford City and County Council,Arts Centres,260000
2024,Arts Centre Partnership Funding,Glór,Clare County Council,Arts Centres,220000
2024,Arts Centre Partnership Funding,Linenhall Arts Centre,Mayo County Council,Arts Centres,255000
2024,Arts Centre Partnership Funding,Mermaid Arts Centre,Wicklow County Council,Arts Centres,300000
2024,Arts Centre Partnership Funding,Pavilion Theatre,Dun Laoghaire Rathdown County Council,Arts Centres,215000
2024,Arts Centre Partnership Funding,Project Arts Centre,Dublin City Council,Arts Centres,940000
2024,Arts Centre Partnership Funding,Ramor Theatre | Town Hall Cavan,Cavan County Council,Arts Centres,90000
2024,Arts Centre Partnership Funding,Regional Cultural Centre,Donegal County Council,Arts Centres,180000
2024,Arts Centre Partnership Funding,Riverbank Arts Centre,Kildare County Council,Arts Centres,120000
2024,Arts Centre Partnership Funding,Roscommon Arts Centre,Roscommon County Council,Arts Centres,160000
2024,Arts Centre Partnership Funding,RUA RED,South Dublin County Council,Arts Centres,80000
2024,Arts Centre Partnership Funding,Siamsa Tíre Theatre and Arts Centre,Kerry County Council,Arts Centres,310000
2024,Arts Centre Partnership Funding,Sirius Arts Centre,Cork County Council,Arts Centres,130000
2024,Arts Centre Partnership Funding,Source Arts Centre,Tipperary County Council,Arts Centres,115000
2024,Arts Centre Partnership Funding,The Dock,Leitrim County Council,Arts Centres,130000
2024,Arts Centre Partnership Funding,The Model,Sligo County Council,Arts Centres,300000
2024,Arts Centre Partnership Funding,Theatre Forum Ireland,Dublin City Council,Arts Centres,255000
2024,Arts Centre Partnership Funding,Theatre Royal Waterford,Waterford City and County Council,Arts Centres,100000
2024,Arts Centre Partnership Funding,Town Hall Theatre,Galway City Council,Arts Centres,190000
2024,Arts Centre Partnership Funding,Triskel Arts Centre,Cork City Council,Arts Centres,230000
2024,Arts Centre Partnership Funding,VISUAL Centre for Contemporary Art & the George Bernard Shaw Theatre,Carlow County Council,Arts Centres,220000
2024,Arts Centre Partnership Funding,Watergate Theatre,Kilkenny County Council,Arts Centres,115000
2024,Arts Centre Partnership Funding,Áras Éanna,Galway County Council,Arts Centres,75000
2024,Arts Grant Funding,Aerowaves Europe,Ireland,Dance,40000
2024,Arts Grant Funding,ANU Productions,Ireland,Theatre,308000
2024,Arts Grant Funding,Architecture at the Edge,Ireland,Architecture,100000
2024,Arts Grant Funding,Artlink Ltd,Ireland,Visual Arts,132000
2024,Arts Grant Funding,Askeaton Contemporary Arts CLG,Ireland,Visual Arts,70000
2024,Arts Grant Funding,Asylum Productions,Ireland,Participatory Arts,70000
2024,Arts Grant Funding,Athlone Arts And Tourism Ltd,Ireland,Visual Arts,65000
2024,Arts Grant Funding,Attic Projects,Ireland,Dance,155000
2024,Arts Grant Funding,Backwater Artists Group,Ireland,Visual Arts,55000
2024,Arts Grant Funding,Baltimore Fiddle Fair,Ireland,Traditional Arts,85000
